od_id,route_id,route_rank,generator,stable_share_norm,avg_time_sec,avg_distance_m,route_node_seq,edge_seq
10690894231__11489067978,10690894231__11489067978__cand_01_fastest,1,fastest,0.0,11.794032,110.188789,10690894231;11489067978,10690894231|11489067978|0
10690894231__2334439514,10690894231__2334439514__cand_01_fastest,1,fastest,0.0,407.204841,5653.911164,10690894231;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;287458421;10832280405;4520426801;112651997;3139458237;11489024178;112652002;112652004;2169139649;2169139651;430284836;112652015;112652019;112627996;112627997;3139458269;112628000;112629313;2486315150;291991193;1561621066;2583954419;3241140499;2292597582;13164581654;1561604006;1561604053;10701585840;3139458268;3139458022;1561604104;6241914180;1561604110;885948003;5486537273;5474314828;112628017;112628020;112628025;112628026;296060854;112628027;1837851206;7115350897;7115350900;492795582;1837851182;3897692305;111641067;5476877544;9864964885;10828125196;3139458015;422548043;111641071;3139458021;2197440824;8788346797;2197440897;2197440890;5869802255;2334439514,10690894231|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|287458421|0;287458421|10832280405|0;10832280405|4520426801|0;4520426801|112651997|0;112651997|3139458237|0;3139458237|11489024178|0;11489024178|112652002|0;112652002|112652004|0;112652004|2169139649|0;2169139649|2169139651|0;2169139651|430284836|0;430284836|112652015|0;112652015|112652019|0;112652019|112627996|0;112627996|112627997|0;112627997|3139458269|0;3139458269|112628000|0;112628000|112629313|0;112629313|2486315150|0;2486315150|291991193|0;291991193|1561621066|0;1561621066|2583954419|0;2583954419|3241140499|0;3241140499|2292597582|0;2292597582|13164581654|0;13164581654|1561604006|0;1561604006|1561604053|0;1561604053|10701585840|0;10701585840|3139458268|0;3139458268|3139458022|0;3139458022|1561604104|0;1561604104|6241914180|0;6241914180|1561604110|0;1561604110|885948003|0;885948003|5486537273|0;5486537273|5474314828|0;5474314828|112628017|0;112628017|112628020|0;112628020|112628025|0;112628025|112628026|0;112628026|296060854|0;296060854|112628027|0;112628027|1837851206|0;1837851206|7115350897|0;7115350897|7115350900|0;7115350900|492795582|0;492795582|1837851182|0;1837851182|3897692305|0;3897692305|111641067|0;111641067|5476877544|0;5476877544|9864964885|0;9864964885|10828125196|0;10828125196|3139458015|0;3139458015|422548043|0;422548043|111641071|0;111641071|3139458021|0;3139458021|2197440824|0;2197440824|8788346797|0;8788346797|2197440897|0;2197440897|2197440890|0;2197440890|5869802255|0;5869802255|2334439514|0
10690894231__2334439514,10690894231__2334439514__cand_02_corridor,2,corridor,0.0,478.278905,7917.778836,10690894231;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;112613601;4378185977;4378185663;430006697;412246600;5198412994;4455723336;9401053197;4381093226;444011313;4381093236;4381093242;4573598284;287458452;444004676;4718388084;444004669;411506246;411504969;128597080;128580161;128579825;12986991569;2490198505;3092784194;1110673464;1105984390;26015929;26016417;25503951;1243857957;112589349;4722746602;112263308;4656694945;4656694942;111649545;5476877921;111636738;10828125192;1353862705;4606349508;11028544799;1398246221;1837851213;3237136830;6094501302;492795541;1837851208;4604359585;6094493381;2334439514,10690894231|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|112613601|0;112613601|4378185977|0;4378185977|4378185663|0;4378185663|430006697|0;430006697|412246600|0;412246600|5198412994|0;5198412994|4455723336|0;4455723336|9401053197|0;9401053197|4381093226|0;4381093226|444011313|0;444011313|4381093236|0;4381093236|4381093242|0;4381093242|4573598284|0;4573598284|287458452|0;287458452|444004676|0;444004676|4718388084|0;4718388084|444004669|0;444004669|411506246|0;411506246|411504969|0;411504969|128597080|0;128597080|128580161|0;128580161|128579825|0;128579825|12986991569|0;12986991569|2490198505|0;2490198505|3092784194|0;3092784194|1110673464|0;1110673464|1105984390|0;1105984390|26015929|0;26015929|26016417|0;26016417|25503951|0;25503951|1243857957|0;1243857957|112589349|0;112589349|4722746602|0;4722746602|112263308|0;112263308|4656694945|0;4656694945|4656694942|1;4656694942|111649545|0;111649545|5476877921|0;5476877921|111636738|0;111636738|10828125192|0;10828125192|1353862705|0;1353862705|4606349508|0;4606349508|11028544799|0;11028544799|1398246221|0;1398246221|1837851213|0;1837851213|3237136830|0;3237136830|6094501302|0;6094501302|492795541|0;492795541|1837851208|0;1837851208|4604359585|0;4604359585|6094493381|0;6094493381|2334439514|0
10690894231__2334439514,10690894231__2334439514__cand_03_penalty,3,penalty,0.0,455.043825,6248.167937,10690894231;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;3554953706;3554953708;9525240512;3554953710;9525240486;9525240480;9525240482;430267083;9525240476;435759031;9525240461;4907380639;2073945447;3139458286;3139458237;11489024178;112652002;112652004;2169139649;2169139651;430284836;112652015;112652019;112627996;112627997;3139458269;112628000;112629313;2486315150;291991193;1561621066;2583954419;3241140499;2292597582;13164581654;1561604006;1561604053;10701585840;3139458268;3139458022;1561604104;6241914180;1561604110;885948003;5486537273;5474314828;112628017;112628020;112628025;112628026;296060854;296060663;3108425096;1801521191;5264881704;1801521211;296061005;1277675385;1353862711;5869817043;1398246222;1353862709;1398246221;125809997;492795570;1353862679;13326746625;5585519383;1353862704;2197440866;3139458021;2197440824;8788346797;2197440897;2197440890;5869802255;2334439514,10690894231|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|3554953706|0;3554953706|3554953708|0;3554953708|9525240512|0;9525240512|3554953710|0;3554953710|9525240486|0;9525240486|9525240480|0;9525240480|9525240482|0;9525240482|430267083|0;430267083|9525240476|0;9525240476|435759031|0;435759031|9525240461|0;9525240461|4907380639|0;4907380639|2073945447|0;2073945447|3139458286|0;3139458286|3139458237|0;3139458237|11489024178|0;11489024178|112652002|0;112652002|112652004|0;112652004|2169139649|0;2169139649|2169139651|0;2169139651|430284836|0;430284836|112652015|0;112652015|112652019|0;112652019|112627996|0;112627996|112627997|0;112627997|3139458269|0;3139458269|112628000|0;112628000|112629313|0;112629313|2486315150|0;2486315150|291991193|0;291991193|1561621066|0;1561621066|2583954419|0;2583954419|3241140499|0;3241140499|2292597582|0;2292597582|13164581654|0;13164581654|1561604006|0;1561604006|1561604053|0;1561604053|10701585840|0;10701585840|3139458268|0;3139458268|3139458022|0;3139458022|1561604104|0;1561604104|6241914180|0;6241914180|1561604110|0;1561604110|885948003|0;885948003|5486537273|0;5486537273|5474314828|0;5474314828|112628017|0;112628017|112628020|0;112628020|112628025|0;112628025|112628026|0;112628026|296060854|0;296060854|296060663|0;296060663|3108425096|0;3108425096|1801521191|0;1801521191|5264881704|0;5264881704|1801521211|0;1801521211|296061005|0;296061005|1277675385|0;1277675385|1353862711|0;1353862711|5869817043|0;5869817043|1398246222|0;1398246222|1353862709|0;1353862709|1398246221|0;1398246221|125809997|0;125809997|492795570|0;492795570|1353862679|0;1353862679|13326746625|0;13326746625|5585519383|0;5585519383|1353862704|0;1353862704|2197440866|0;2197440866|3139458021|0;3139458021|2197440824|0;2197440824|8788346797|0;8788346797|2197440897|0;2197440897|2197440890|0;2197440890|5869802255|0;5869802255|2334439514|0
10690894231__2334439514,10690894231__2334439514__cand_04_penalty,4,penalty,0.0,492.365205,7761.311270,10690894231;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;287458421;10832280405;4520426801;112651997;3139458237;11489024178;112652002;112613592;112652004;2169139649;2169139651;430284836;112652015;112613584;431647245;9549490295;444004650;9549490301;444004648;8865527860;4585887625;3170300783;9865054759;9119079830;128560419;11167485449;128560421;128560423;11105950346;11105950350;11105950362;9560884641;128560426;128616477;11371513838;128573633;3092784194;1110673464;1105984390;26015929;26016417;25503951;1243857957;112589349;4722746602;112263308;4656694945;4656694942;111649545;5476877921;111636738;111636742;111636743;111641319;13852195176;5971114298;1837851160;4179753871;8785232252;6056394005;4604362038;11028522873;297353358;4605936269;10543626671;8788346770;1837851208;4604359585;6094493381;2334439514,10690894231|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|287458421|0;287458421|10832280405|0;10832280405|4520426801|0;4520426801|112651997|0;112651997|3139458237|0;3139458237|11489024178|0;11489024178|112652002|0;112652002|112613592|0;112613592|112652004|0;112652004|2169139649|0;2169139649|2169139651|0;2169139651|430284836|0;430284836|112652015|0;112652015|112613584|0;112613584|431647245|0;431647245|9549490295|0;9549490295|444004650|0;444004650|9549490301|0;9549490301|444004648|0;444004648|8865527860|0;8865527860|4585887625|0;4585887625|3170300783|0;3170300783|9865054759|0;9865054759|9119079830|0;9119079830|128560419|0;128560419|11167485449|0;11167485449|128560421|0;128560421|128560423|0;128560423|11105950346|0;11105950346|11105950350|0;11105950350|11105950362|0;11105950362|9560884641|0;9560884641|128560426|0;128560426|128616477|0;128616477|11371513838|0;11371513838|128573633|0;128573633|3092784194|0;3092784194|1110673464|0;1110673464|1105984390|0;1105984390|26015929|0;26015929|26016417|0;26016417|25503951|0;25503951|1243857957|0;1243857957|112589349|0;112589349|4722746602|0;4722746602|112263308|0;112263308|4656694945|0;4656694945|4656694942|1;4656694942|111649545|0;111649545|5476877921|0;5476877921|111636738|0;111636738|111636742|0;111636742|111636743|0;111636743|111641319|0;111641319|13852195176|0;13852195176|5971114298|0;5971114298|1837851160|0;1837851160|4179753871|0;4179753871|8785232252|0;8785232252|6056394005|0;6056394005|4604362038|0;4604362038|11028522873|0;11028522873|297353358|0;297353358|4605936269|0;4605936269|10543626671|0;10543626671|8788346770|0;8788346770|1837851208|0;1837851208|4604359585|0;4604359585|6094493381|0;6094493381|2334439514|0
10690894231__2334439514,10690894231__2334439514__cand_05_penalty,5,penalty,0.0,538.307147,6959.626430,10690894231;2198252493;420807840;420776909;420776894;4494941281;11627296159;1221776530;6710467222;6710467221;430267081;431615495;5310413728;12036406470;429833964;287458423;430267072;4496173385;287458433;429200540;2082720512;429854607;420865860;420865811;420865813;420865807;429854630;429854632;429854634;12673092859;429854637;280065275;429854666;430491191;280065173;429998754;532488457;3755852292;429998738;3755852310;429854683;2292564294;430491189;12469918184;12469918187;280065445;532488401;7234074272;532488410;7417622226;2292597561;532488415;532488389;10205136459;532488391;532488398;10179016473;532488360;8754160953;8754160955;8754160942;8754160943;8754160936;532488349;1670401804;3241140663;280065679;1670401805;430023268;1670607295;1670607300;430023271;1670607311;430023275;2816940720;430023262;4605892938;3224242781;3775844471;3775811366;280065687;2352721971;885948013;885948009;4605903365;3224247895;2596033823;2596033793;4798725276;112628026;296060854;112628027;1837851206;7115350897;7115350900;492795582;1837851182;3897692305;111641067;5476877544;9864964885;10828125196;3139458015;422548043;111641071;3139458021;2197440824;8788346797;2197440897;2197440890;5869802255;2334439514,10690894231|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776894|0;420776894|4494941281|0;4494941281|11627296159|0;11627296159|1221776530|0;1221776530|6710467222|0;6710467222|6710467221|0;6710467221|430267081|0;430267081|431615495|0;431615495|5310413728|0;5310413728|12036406470|0;12036406470|429833964|0;429833964|287458423|0;287458423|430267072|0;430267072|4496173385|0;4496173385|287458433|0;287458433|429200540|0;429200540|2082720512|0;2082720512|429854607|0;429854607|420865860|0;420865860|420865811|0;420865811|420865813|0;420865813|420865807|0;420865807|429854630|0;429854630|429854632|0;429854632|429854634|0;429854634|12673092859|0;12673092859|429854637|0;429854637|280065275|0;280065275|429854666|0;429854666|430491191|0;430491191|280065173|0;280065173|429998754|0;429998754|532488457|0;532488457|3755852292|0;3755852292|429998738|0;429998738|3755852310|0;3755852310|429854683|0;429854683|2292564294|0;2292564294|430491189|0;430491189|12469918184|0;12469918184|12469918187|0;12469918187|280065445|0;280065445|532488401|0;532488401|7234074272|0;7234074272|532488410|0;532488410|7417622226|0;7417622226|2292597561|0;2292597561|532488415|0;532488415|532488389|0;532488389|10205136459|0;10205136459|532488391|0;532488391|532488398|0;532488398|10179016473|0;10179016473|532488360|0;532488360|8754160953|0;8754160953|8754160955|0;8754160955|8754160942|0;8754160942|8754160943|0;8754160943|8754160936|0;8754160936|532488349|0;532488349|1670401804|0;1670401804|3241140663|0;3241140663|280065679|0;280065679|1670401805|0;1670401805|430023268|0;430023268|1670607295|0;1670607295|1670607300|0;1670607300|430023271|0;430023271|1670607311|0;1670607311|430023275|0;430023275|2816940720|0;2816940720|430023262|0;430023262|4605892938|0;4605892938|3224242781|0;3224242781|3775844471|0;3775844471|3775811366|0;3775811366|280065687|0;280065687|2352721971|0;2352721971|885948013|0;885948013|885948009|0;885948009|4605903365|0;4605903365|3224247895|0;3224247895|2596033823|0;2596033823|2596033793|0;2596033793|4798725276|0;4798725276|112628026|0;112628026|296060854|0;296060854|112628027|0;112628027|1837851206|0;1837851206|7115350897|0;7115350897|7115350900|0;7115350900|492795582|0;492795582|1837851182|0;1837851182|3897692305|0;3897692305|111641067|0;111641067|5476877544|0;5476877544|9864964885|0;9864964885|10828125196|0;10828125196|3139458015|0;3139458015|422548043|0;422548043|111641071|0;111641071|3139458021|0;3139458021|2197440824|0;2197440824|8788346797|0;8788346797|2197440897|0;2197440897|2197440890|0;2197440890|5869802255|0;5869802255|2334439514|0
10690894231__2334439514,10690894231__2334439514__cand_06_stochastic,6,stochastic,0.0,470.564068,7925.256079,10690894231;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;112613601;4378185977;4378185663;430006697;412246600;5198412994;4455723336;9401053197;4381093226;444011313;4381093236;4381093242;4573598284;287458452;444004676;4718388084;444004669;411506246;411504969;128597080;128580161;128579825;12986991569;2490198505;3092784194;1110673464;1105984390;26015929;26016417;25503951;1243857957;112589349;4722746602;112263308;4656694945;4656694942;111649545;5476877921;111636738;10828125192;1353862705;2846609711;8341803271;5476829014;3166561407;5476877534;5476877544;9864964885;10828125196;3139458015;422548043;111641071;3139458021;2197440824;8788346797;2197440897;2197440890;5869802255;2334439514,10690894231|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|112613601|0;112613601|4378185977|0;4378185977|4378185663|0;4378185663|430006697|0;430006697|412246600|0;412246600|5198412994|0;5198412994|4455723336|0;4455723336|9401053197|0;9401053197|4381093226|0;4381093226|444011313|0;444011313|4381093236|0;4381093236|4381093242|0;4381093242|4573598284|0;4573598284|287458452|0;287458452|444004676|0;444004676|4718388084|0;4718388084|444004669|0;444004669|411506246|0;411506246|411504969|0;411504969|128597080|0;128597080|128580161|0;128580161|128579825|0;128579825|12986991569|0;12986991569|2490198505|0;2490198505|3092784194|0;3092784194|1110673464|0;1110673464|1105984390|0;1105984390|26015929|0;26015929|26016417|0;26016417|25503951|0;25503951|1243857957|0;1243857957|112589349|0;112589349|4722746602|0;4722746602|112263308|0;112263308|4656694945|0;4656694945|4656694942|1;4656694942|111649545|0;111649545|5476877921|0;5476877921|111636738|0;111636738|10828125192|0;10828125192|1353862705|0;1353862705|2846609711|0;2846609711|8341803271|0;8341803271|5476829014|0;5476829014|3166561407|0;3166561407|5476877534|0;5476877534|5476877544|0;5476877544|9864964885|0;9864964885|10828125196|0;10828125196|3139458015|0;3139458015|422548043|0;422548043|111641071|0;111641071|3139458021|0;3139458021|2197440824|0;2197440824|8788346797|0;8788346797|2197440897|0;2197440897|2197440890|0;2197440890|5869802255|0;5869802255|2334439514|0
10690894231__2334439514,10690894231__2334439514__cand_07_stochastic,7,stochastic,0.0,475.071109,7506.936712,10690894231;2198252493;420807840;420776909;420776895;788826702;788826707;431925048;430267079;112651995;446308238;112613601;4378185977;4378185663;430006697;412246600;5198412994;4455723336;9401053197;4381093226;444004662;432597947;8890136768;8890136749;2617650081;128560419;11167485449;128560421;128560423;11105950346;11105950350;11105950362;9560884641;128560426;128616477;11371513838;128573633;3092784194;1110673464;1105984390;26015929;26016417;25503951;1243857957;112589349;4722746602;112263308;4656694945;4656694942;111649545;5476877921;111636738;10828125192;1353862705;4606349508;11028544799;1398246221;1837851213;3237136830;6094501302;492795541;1837851208;4604359585;6094493381;2334439514,10690894231|2198252493|0;2198252493|420807840|0;420807840|420776909|0;420776909|420776895|0;420776895|788826702|0;788826702|788826707|0;788826707|431925048|0;431925048|430267079|0;430267079|112651995|0;112651995|446308238|0;446308238|112613601|0;112613601|4378185977|0;4378185977|4378185663|0;4378185663|430006697|0;430006697|412246600|0;412246600|5198412994|0;5198412994|4455723336|0;4455723336|9401053197|0;9401053197|4381093226|0;4381093226|444004662|0;444004662|432597947|0;432597947|8890136768|0;8890136768|8890136749|0;8890136749|2617650081|0;2617650081|128560419|0;128560419|11167485449|0;11167485449|128560421|0;128560421|128560423|0;128560423|11105950346|0;11105950346|11105950350|0;11105950350|11105950362|0;11105950362|9560884641|0;9560884641|128560426|0;128560426|128616477|0;128616477|11371513838|0;11371513838|128573633|0;128573633|3092784194|0;3092784194|1110673464|0;1110673464|1105984390|0;1105984390|26015929|0;26015929|26016417|0;26016417|25503951|0;25503951|1243857957|0;1243857957|112589349|0;112589349|4722746602|0;4722746602|112263308|0;112263308|4656694945|0;4656694945|4656694942|1;4656694942|111649545|0;111649545|5476877921|0;5476877921|111636738|0;111636738|10828125192|0;10828125192|1353862705|0;1353862705|4606349508|0;4606349508|11028544799|0;11028544799|1398246221|0;1398246221|1837851213|0;1837851213|3237136830|0;3237136830|6094501302|0;6094501302|492795541|0;492795541|1837851208|0;1837851208|4604359585|0;4604359585|6094493381|0;6094493381|2334439514|0
1108123561__10044812524,1108123561__10044812524__cand_01_fastest,1,fastest,0.0,496.382022,6798.473469,1108123561;1108123577;314075173;481410597;90380150;481392108;481392111;90379759;311887143;311888929;311887112;90379616;90379618;9772989143;4468207755;5297768041;3025460919;3896082166;480486064;314074321;128668316;314074258;314553861;480500597;4773464587;428216032;428215793;428215781;128668309;314075504;428215941;314075458;428215354;128668307;314075546;479512726;1788785868;129665113;1353859187;11524582016;1353859190;111451963;111447960;9291072844;11417754559;4505062034;2157117615;285910461;2157117616;111459759;111459776;111459780;111467270;111467271;478821668;3391598608;478821940;2616040186;2681392509;2619594977;2616040194;2616040153;2616040159;2616040192;475704953;138218138;128679581;2641682879;2273292142;2250794620;128680158;129558556;314549177;2213447626;129557542;2214758555;2086439968;2086440304;1684844050;25620948;10044812524,1108123561|1108123577|0;1108123577|314075173|0;314075173|481410597|0;481410597|90380150|0;90380150|481392108|0;481392108|481392111|0;481392111|90379759|0;90379759|311887143|0;311887143|311888929|0;311888929|311887112|0;311887112|90379616|0;90379616|90379618|0;90379618|9772989143|0;9772989143|4468207755|0;4468207755|5297768041|0;5297768041|3025460919|0;3025460919|3896082166|0;3896082166|480486064|0;480486064|314074321|0;314074321|128668316|0;128668316|314074258|0;314074258|314553861|0;314553861|480500597|0;480500597|4773464587|0;4773464587|428216032|0;428216032|428215793|0;428215793|428215781|0;428215781|128668309|0;128668309|314075504|0;314075504|428215941|0;428215941|314075458|0;314075458|428215354|0;428215354|128668307|0;128668307|314075546|0;314075546|479512726|0;479512726|1788785868|0;1788785868|129665113|0;129665113|1353859187|0;1353859187|11524582016|0;11524582016|1353859190|0;1353859190|111451963|0;111451963|111447960|0;111447960|9291072844|0;9291072844|11417754559|0;11417754559|4505062034|0;4505062034|2157117615|0;2157117615|285910461|0;285910461|2157117616|0;2157117616|111459759|0;111459759|111459776|0;111459776|111459780|0;111459780|111467270|0;111467270|111467271|0;111467271|478821668|0;478821668|3391598608|0;3391598608|478821940|0;478821940|2616040186|0;2616040186|2681392509|0;2681392509|2619594977|0;2619594977|2616040194|0;2616040194|2616040153|0;2616040153|2616040159|0;2616040159|2616040192|0;2616040192|475704953|0;475704953|138218138|0;138218138|128679581|0;128679581|2641682879|0;2641682879|2273292142|0;2273292142|2250794620|0;2250794620|128680158|0;128680158|129558556|0;129558556|314549177|0;314549177|2213447626|0;2213447626|129557542|0;129557542|2214758555|0;2214758555|2086439968|0;2086439968|2086440304|0;2086440304|1684844050|0;1684844050|25620948|0;25620948|10044812524|0
1108123561__10044812524,1108123561__10044812524__cand_02_shortest,2,shortest,0.0,510.053881,6793.355605,1108123561;1108123577;314075202;311887395;314075690;311887141;311887142;311888898;311887143;311888929;311887112;90379616;90379618;9772989143;4468207755;5297768041;3025460919;3896082166;480486064;314074321;128668316;314074258;314553861;480500597;4773464587;428216032;428215793;428215781;128668309;314075504;428215941;314075458;428215354;128668307;314075546;479512726;1788785868;129665113;1353859187;11524582016;1353859190;111451963;111447960;9291072844;11417754559;4505062034;2157117615;285910461;2157117616;111459759;111459776;111459780;111467270;111467271;478821668;3391598608;478821940;2616040186;2681392509;2619594977;2616040194;2616040153;2616040159;2616040192;475704953;138218138;128679581;2641682879;2273292142;2250794620;128680158;129558556;314549177;2213447626;129557542;2214758555;2086439968;2086440304;138220017;138220134;25620948;10044812524,1108123561|1108123577|0;1108123577|314075202|0;314075202|311887395|0;311887395|314075690|0;314075690|311887141|0;311887141|311887142|0;311887142|311888898|0;311888898|311887143|0;311887143|311888929|0;311888929|311887112|0;311887112|90379616|0;90379616|90379618|0;90379618|9772989143|0;9772989143|4468207755|0;4468207755|5297768041|0;5297768041|3025460919|0;3025460919|3896082166|0;3896082166|480486064|0;480486064|314074321|0;314074321|128668316|0;128668316|314074258|0;314074258|314553861|0;314553861|480500597|0;480500597|4773464587|0;4773464587|428216032|0;428216032|428215793|0;428215793|428215781|0;428215781|128668309|0;128668309|314075504|0;314075504|428215941|0;428215941|314075458|0;314075458|428215354|0;428215354|128668307|0;128668307|314075546|0;314075546|479512726|0;479512726|1788785868|0;1788785868|129665113|0;129665113|1353859187|0;1353859187|11524582016|0;11524582016|1353859190|0;1353859190|111451963|0;111451963|111447960|0;111447960|9291072844|0;9291072844|11417754559|0;11417754559|4505062034|0;4505062034|2157117615|0;2157117615|285910461|0;285910461|2157117616|0;2157117616|111459759|0;111459759|111459776|0;111459776|111459780|0;111459780|111467270|0;111467270|111467271|0;111467271|478821668|0;478821668|3391598608|0;3391598608|478821940|0;478821940|2616040186|0;2616040186|2681392509|0;2681392509|2619594977|0;2619594977|2616040194|0;2616040194|2616040153|0;2616040153|2616040159|0;2616040159|2616040192|0;2616040192|475704953|0;475704953|138218138|0;138218138|128679581|0;128679581|2641682879|0;2641682879|2273292142|0;2273292142|2250794620|0;2250794620|128680158|0;128680158|129558556|0;129558556|314549177|0;314549177|2213447626|0;2213447626|129557542|0;129557542|2214758555|0;2214758555|2086439968|0;2086439968|2086440304|0;2086440304|138220017|0;138220017|138220134|0;138220134|25620948|0;25620948|10044812524|0
1108123561__10044812524,1108123561__10044812524__cand_03_corridor,3,corridor,0.0,541.103242,6907.312969,1108123561;311886862;314075061;122523605;122522947;122525425;90380817;4722390331;122528341;4722390329;111443919;12244943129;12244980544;12244955961;480482958;848504882;848504881;12243050803;3896080911;12243475429;4565597392;480477004;111447980;480348685;480348682;480331319;4505031812;111447973;6173735442;9364228241;6173735439;8298149081;111447963;111447960;9291072844;11417754559;4505062034;2157117615;285910461;2157117616;111459759;111459776;111459780;111467270;111467271;478821668;3391598608;478821940;2616040186;2681392509;2619594977;2616040194;2616040153;2616040159;2616040192;475704953;138218138;128679581;2641682879;2273292142;2250794620;128680158;129558556;314549177;2213447626;129557542;2214758555;2086439968;2086440304;1684844050;25620948;10044812524,1108123561|311886862|0;311886862|314075061|0;314075061|122523605|0;122523605|122522947|0;122522947|122525425|0;122525425|90380817|0;90380817|4722390331|0;4722390331|122528341|0;122528341|4722390329|0;4722390329|111443919|0;111443919|12244943129|0;12244943129|12244980544|0;12244980544|12244955961|0;12244955961|480482958|0;480482958|848504882|0;848504882|848504881|0;848504881|12243050803|0;12243050803|3896080911|0;3896080911|12243475429|0;12243475429|4565597392|0;4565597392|480477004|0;480477004|111447980|0;111447980|480348685|0;480348685|480348682|0;480348682|480331319|0;480331319|4505031812|0;4505031812|111447973|0;111447973|6173735442|0;6173735442|9364228241|0;9364228241|6173735439|0;6173735439|8298149081|0;8298149081|111447963|0;111447963|111447960|0;111447960|9291072844|0;9291072844|11417754559|0;11417754559|4505062034|0;4505062034|2157117615|0;2157117615|285910461|0;285910461|2157117616|0;2157117616|111459759|0;111459759|111459776|0;111459776|111459780|0;111459780|111467270|0;111467270|111467271|0;111467271|478821668|0;478821668|3391598608|0;3391598608|478821940|0;478821940|2616040186|0;2616040186|2681392509|0;2681392509|2619594977|0;2619594977|2616040194|0;2616040194|2616040153|0;2616040153|2616040159|0;2616040159|2616040192|0;2616040192|475704953|0;475704953|138218138|0;138218138|128679581|0;128679581|2641682879|0;2641682879|2273292142|0;2273292142|2250794620|0;2250794620|128680158|0;128680158|129558556|0;129558556|314549177|0;314549177|2213447626|0;2213447626|129557542|0;129557542|2214758555|0;2214758555|2086439968|0;2086439968|2086440304|0;2086440304|1684844050|0;1684844050|25620948|0;25620948|10044812524|0
